src,dst,relationship
1730,382,follow
1689,381,friend
1785,843,follow
1069,673,follow
787,1741,follow
324,519,friend
1222,1669,follow
1602,1136,friend
100,811,follow
764,791,follow
1103,257,friend
1662,1941,follow
623,586,friend
289,1464,follow
1402,324,friend
1099,515,follow
1802,1197,follow
1807,1541,friend
346,1217,friend
1552,268,friend
1213,802,follow
812,458,follow
1309,1264,follow
1252,730,friend
1658,1418,follow
1465,1023,follow
720,869,friend
1952,1141,follow
1217,1675,follow
1991,1069,follow
1996,1413,follow
962,402,follow
1855,1208,friend
1361,673,follow
891,1690,friend
397,1155,follow
423,124,follow
1608,550,friend
1644,207,follow
1264,740,follow
1269,1084,friend
1367,1619,friend
295,878,friend
1300,397,follow
737,1223,follow
1573,1495,follow
1649,551,follow
91,294,follow
260,1823,friend
1705,1614,friend
244,1290,follow
573,68,follow
1044,1905,follow
1070,874,friend
1476,1562,friend
1085,1906,follow
1455,685,follow
1450,341,follow
455,1510,friend
1327,1439,follow
1270,905,friend
551,1972,follow
14,1767,follow
301,1043,friend
286,11,friend
1793,680,follow
731,627,follow
767,284,friend
1665,1434,friend
1660,1090,follow
605,1454,friend
189,78,follow
1917,1655,friend
1664,1963,follow
1753,500,friend
354,1054,follow
1911,1840,friend
1123,104,friend
1682,1788,friend
278,1998,follow
591,243,friend
1752,1029,friend
1093,1393,friend
697,1393,friend
616,1993,follow
564,1803,follow
153,771,follow
215,1649,follow
934,582,follow
1087,1578,friend
32,1942,friend
1799,94,follow
739,114,friend
436,305,friend
954,1988,friend
1329,1111,friend
303,715,follow
743,987,follow
110,320,friend
1524,798,friend
1677,1794,follow
268,1660,follow
889,58,friend
216,1470,friend
1579,1259,follow
1386,864,friend
1514,110,friend
1083,1055,follow
180,1813,follow
560,1280,follow
1294,1275,follow
611,1999,friend
1289,931,follow
1953,911,friend
1330,932,friend
554,1465,friend
416,1531,friend
734,120,friend
1293,1804,friend
1570,392,follow
1262,239,follow
510,412,follow
1817,269,follow
418,823,follow
108,597,friend
1782,1214,follow
1873,1332,friend
904,1470,follow
664,1229,follow
1187,1004,follow
1992,1963,follow
1529,741,follow
63,73,follow
648,726,friend
1429,537,friend
1530,1343,follow
1771,274,follow
69,1019,follow
1874,1153,follow
1965,1271,friend
566,1825,friend
1746,1907,follow
1152,1168,friend
1878,216,friend
1110,1696,follow
1586,1625,follow
619,1836,follow
531,1989,follow
552,614,friend
958,1302,follow
1393,1230,friend
419,1024,friend
763,834,follow
1771,624,friend
1664,3,follow
1163,1707,friend
103,1727,follow
142,1655,friend
173,968,friend
512,434,friend
1353,1050,follow
942,18,friend
389,1532,follow
1404,1769,friend
1342,891,follow
1727,702,friend
758,840,friend
352,152,friend
1692,1647,friend
190,1322,follow
133,788,follow
128,444,friend
635,1938,friend
432,855,follow
41,1199,friend
1937,1451,follow
908,784,friend
780,1538,friend
364,162,follow
35,1384,follow
246,1604,friend
179,382,follow
1118,1533,friend
1555,1534,follow
32,332,friend
894,1825,friend
123,450,friend
1339,189,friend
1790,650,friend
735,1014,friend
1394,650,friend
1258,789,friend
430,1132,follow
523,1323,follow
1580,251,follow
484,614,friend
981,1420,friend
1984,866,follow
637,1610,friend
1411,1004,follow
144,1677,friend
483,1143,friend
1417,1950,follow
1319,1415,follow
1257,537,follow
1811,1877,friend
238,558,follow
1785,656,friend
725,676,follow
162,1502,follow
105,968,follow
1714,1944,friend
1996,876,friend
196,1086,friend
222,55,friend
638,1431,friend
1058,327,follow
536,1154,follow
99,1153,friend
1033,1960,follow
1905,1889,friend
1750,820,follow
1781,133,friend
351,1374,friend
633,1637,friend
442,1492,friend
1213,615,follow
1562,769,friend
1710,1421,follow
311,1975,follow
1371,1955,follow
1278,1764,follow
192,563,friend
720,682,friend
1957,1298,friend
491,630,follow
1155,610,follow
1358,215,follow
1459,1021,friend
347,851,friend
732,692,follow
336,692,friend
1573,1308,friend
1583,1996,follow
1110,86,friend
1547,87,follow
91,107,friend
588,913,follow
1849,425,follow
101,825,follow
890,1251,follow
1270,718,follow
1260,30,friend
75,93,friend
1762,1180,friend
19,1924,follow
1757,836,friend
296,512,follow
759,1734,follow
793,1318,friend
702,1200,follow
767,97,friend
456,1925,friend
1722,1781,friend
194,235,friend
753,1919,friend
1472,852,follow
1415,318,follow
357,1919,follow
1573,1658,friend
472,1677,friend
9,455,friend
71,1333,friend
594,1108,follow
876,40,friend
974,575,friend
1758,657,friend
349,523,friend
903,1863,friend
1190,1139,friend
1221,452,follow
445,985,friend
1242,1329,follow
1713,914,follow
1661,724,follow
252,590,friend
1721,1529,follow
749,1396,friend
651,861,friend
1867,600,friend
1989,31,friend
929,51,friend
996,1273,friend
559,1272,follow
1775,1011,follow
309,343,follow
25,1338,friend
892,923,friend
1267,46,friend
1272,390,friend
1774,1540,friend
714,1560,friend
313,1216,friend
745,873,follow
1201,1678,follow
669,1817,friend
1448,1555,friend
708,1745,follow
985,333,follow
703,1401,follow
589,333,friend
646,867,friend
515,1350,follow
458,816,follow
960,1966,friend
304,349,friend
1197,1155,friend
1192,811,follow
359,810,friend
1730,1618,follow
1226,395,follow
949,1807,follow
1105,1566,friend
668,1565,follow
694,534,friend
1103,1493,friend
1884,1304,friend
131,1360,follow
941,411,follow
1407,1904,friend
1477,1145,follow
849,822,friend
813,1165,follow
1349,1899,follow
263,698,friend
1187,817,friend
693,282,follow
1192,1161,follow
1971,899,follow
1028,6,follow
601,693,follow
1437,965,friend
131,1710,follow
561,1294,follow
1736,1032,friend
1772,689,follow
1345,1376,follow
1839,1911,follow
767,1170,follow
1207,1442,follow
1480,288,friend
1433,442,follow
1824,98,follow
1141,822,follow
425,652,friend
521,1114,follow
1956,217,friend
865,924,friend
1789,1043,friend
511,426,friend
1336,509,follow
526,1458,friend
1823,627,friend
1771,437,follow
85,1715,follow
773,1335,follow
921,1987,friend
1645,1264,follow
1974,42,follow
957,1644,friend
1700,1725,friend
1726,694,friend
733,1936,follow
327,1248,friend
174,252,friend
1168,1864,follow
1543,987,follow
77,319,follow
1983,1259,follow
913,591,friend
1348,519,friend
1045,710,follow
1778,103,friend
384,1001,follow
537,1997,follow
917,1464,friend
1753,1736,friend
1008,1582,follow
1347,1048,follow
1102,463,follow
190,1135,follow
620,719,friend
563,185,friend
1846,1146,friend
1399,457,follow
98,1546,follow
432,668,follow
528,1130,follow
476,940,follow
1211,406,follow
1801,1403,follow
1025,1936,friend
466,252,follow
1307,868,friend
810,62,friend
283,545,follow
338,1006,follow
713,129,follow
1778,453,friend
1616,1623,friend
1308,1470,follow
1595,746,friend
876,1813,follow
1148,57,friend
1986,402,friend
1590,402,follow
871,1469,follow
220,196,friend
155,1299,friend
1462,1156,follow
181,268,follow
1954,1618,follow
1548,930,friend
1214,1808,friend
985,1756,follow
1360,879,friend
1021,1413,friend
47,1207,friend
1708,1562,follow
581,360,friend
1799,1680,follow
1171,1357,follow
1114,823,follow
1570,1628,follow
207,1839,friend
580,889,friend
919,355,follow
585,1233,friend
611,202,friend
17,1715,follow
1791,284,friend
488,1300,follow
1847,1347,friend
1790,813,follow
1279,1829,friend
1566,1105,friend
1597,418,follow
1996,689,friend
201,1243,friend
638,1244,friend
1870,1516,follow
1032,1171,friend
1844,295,friend
191,555,follow
1464,828,follow
1997,1291,friend
196,899,follow
541,1311,friend
89,278,friend
94,622,friend
1716,1049,friend
870,89,follow
1033,1773,follow
1285,1994,follow
879,1306,follow
442,1305,follow
1557,238,friend
736,1028,friend
1023,304,friend
715,151,follow
402,1906,follow
1962,1455,follow
553,1321,follow
1991,695,follow
1358,28,friend
1418,833,friend
24,1731,friend
1798,300,friend
1920,1983,friend
886,972,friend
1768,1589,follow
1711,1055,friend
987,1778,follow
701,1192,follow
1420,125,follow
706,1536,follow
1138,1193,friend
1239,1999,follow
169,1331,follow
1552,244,friend
614,1947,follow
198,571,friend
979,382,friend
1851,311,follow
830,259,friend
1348,1942,friend
1723,1065,friend
1661,187,friend
921,377,follow
410,1393,follow
1036,135,friend
322,1546,friend
1413,839,follow
850,1665,follow
1686,1937,follow
1290,1937,follow
543,202,follow
686,510,follow
128,1680,follow
1339,1075,friend
1318,198,friend
537,387,follow
313,679,friend
349,336,follow
903,1676,friend
846,1142,friend
789,608,follow
507,1676,follow
1780,1949,friend
1281,1070,follow
1959,2,friend
1687,1758,friend
1524,74,friend
1721,1342,follow
1185,608,friend
1150,1553,follow
1624,1409,friend
996,1086,friend
220,1619,follow
559,1085,follow
1619,1065,friend
1436,1358,friend
189,54,follow
1889,1892,friend
686,860,friend
1871,1286,follow
1298,1424,friend
1303,1768,follow
1668,203,follow
1826,1543,follow
1082,79,follow
1574,541,follow
951,562,friend
211,752,friend
154,218,follow
1448,1368,follow
1386,490,friend
1422,147,friend
307,1214,friend
1143,1486,friend
484,1850,friend
463,973,follow
1919,953,follow
179,1968,friend
898,901,follow
893,557,follow
1765,486,friend
22,1230,follow
1421,676,friend
421,1501,follow
426,1845,friend
1856,604,follow
1694,1774,friend
1728,1358,follow
314,880,follow
766,1913,follow
1540,1307,friend
38,982,friend
134,1444,friend
1037,686,friend
1157,788,follow
751,100,friend
355,100,friend
73,1168,follow
1690,1251,follow
1279,219,friend
1186,28,follow
341,1922,friend
778,1923,follow
1526,96,follow
1130,96,friend
244,1989,follow
619,1112,follow
901,44,friend
1023,1727,friend
1403,1194,friend
1546,1502,friend
1838,1122,friend
95,1866,follow
38,1332,follow
408,111,follow
520,1106,follow
910,1261,follow
1345,1189,follow
1266,1862,follow
808,984,friend
1988,1066,follow
245,1810,follow
579,932,follow
86,999,follow
29,465,friend
239,1995,follow
172,773,follow
516,583,friend
182,1461,follow
1794,1200,friend
1295,321,friend
51,1944,friend
323,188,follow
987,168,follow
1880,974,friend
80,1184,follow
367,460,friend
1771,250,friend
1260,1266,friend
424,994,follow
276,342,friend
1833,1128,friend
1599,732,follow
229,526,friend
676,1215,follow
1101,455,friend
1142,456,friend
1204,1334,follow
1608,1949,follow
913,404,friend
173,594,friend
569,594,follow
1415,1554,follow
912,933,follow
573,1467,follow
506,245,friend
1743,861,follow
1691,671,follow
1342,517,friend
1595,209,follow
440,1877,friend
1555,810,follow
326,809,follow
378,999,friend
1599,1082,follow
190,948,friend
591,1292,friend
1062,877,friend
1867,1836,friend
1466,1492,friend
1958,1954,follow
189,1477,follow
908,410,friend
1801,1216,follow
1400,872,follow
1897,1678,follow
1830,456,follow
343,1163,follow
374,476,friend
723,630,friend
1272,1626,friend
871,1282,follow
840,1969,follow
814,748,friend
1267,1282,follow
1778,266,follow
97,1888,follow
282,887,follow
220,9,friend
1170,1349,friend
965,163,follow
626,697,friend
727,91,follow
149,1297,follow
87,419,friend
1427,1914,friend
682,1760,follow
615,538,friend
1117,1688,follow
735,640,follow
1394,276,follow
1953,1960,friend
16,1707,friend
1708,1375,friend
309,1929,friend
299,1241,follow
698,1512,follow
1955,1252,follow
694,1770,friend
1043,1924,friend
575,358,follow
1702,1560,friend
1170,1699,friend
7,840,follow
946,1991,friend
509,1990,friend
473,81,friend
1725,1729,follow
944,1918,friend
980,1575,follow
1852,1504,follow
735,990,follow
821,764,friend
157,784,follow
248,902,friend
695,1591,friend
1089,1518,friend
1027,640,friend
1844,108,friend
906,1811,friend
1508,913,follow
104,1123,follow
510,1811,follow
1341,1739,friend
1377,1396,friend
1033,1586,friend
1434,1930,friend
823,56,follow
778,313,follow
499,1652,friend
1614,585,friend
1223,929,follow
1177,584,follow
1182,928,friend
1314,1047,follow
1142,1529,follow
548,790,follow
835,66,follow
439,66,friend
1714,1920,friend
1993,581,friend
936,872,friend
577,30,friend
1480,1524,friend
368,1354,friend
399,667,friend
1402,113,friend
464,1816,follow
115,1662,friend
1727,1401,follow
987,1591,friend
930,1057,follow
1823,1863,follow
1766,1329,friend
1797,642,friend
18,1729,follow
640,729,follow
1101,1878,follow
1080,1001,follow
1577,1807,follow
1572,1463,friend
913,1827,follow
486,262,friend
942,1067,follow
577,380,follow
1814,996,friend
754,1016,friend
702,826,friend
14,1206,friend
1475,1530,follow
845,1134,friend
1569,411,friend
1132,410,follow
1722,1407,friend
256,739,follow
352,1201,follow
1537,1627,follow
71,959,friend
446,82,friend
102,272,friend
1005,1766,follow
1375,545,follow
1435,1350,follow
846,955,friend
70,1488,friend
440,267,friend
1718,884,follow
1656,6,friend
1620,349,friend
307,677,follow
250,143,friend
651,487,friend
1590,1638,follow
1924,760,friend
129,1314,friend
255,487,friend
996,899,friend
1030,483,follow
1522,945,friend
123,1499,follow
61,621,friend
1774,1166,follow
714,1186,friend
26,1566,friend
370,1376,friend
360,688,friend
1571,83,follow
1734,1767,friend
951,375,follow
1448,1181,follow
1057,1525,friend
651,837,follow
1945,1987,friend
1986,1988,friend
135,1509,follow
1143,1299,friend
1821,231,friend
463,786,friend
1477,421,friend
1786,1176,friend
1822,833,friend
1627,365,follow
668,1191,follow
1530,432,follow
126,642,follow
1631,1238,follow
669,1793,follow
1438,843,friend
1001,842,friend
1381,309,friend
1503,1992,friend
1534,1305,friend
469,981,friend
1006,1186,friend
1315,1941,follow
1346,1254,follow
721,1202,friend
716,858,friend
1495,596,friend
1161,1474,friend
1588,787,follow
1304,1782,follow
593,1956,follow
958,391,follow
1622,371,follow
588,1612,follow
1627,715,follow
1064,1541,friend
1095,854,friend
1530,782,follow
33,801,friend
1869,248,follow
582,1797,follow
1311,1418,follow
1296,386,friend
1058,1726,follow
829,1674,follow
870,1675,friend
1868,777,follow
1930,1655,follow
1701,1603,friend
1587,535,friend
579,745,friend
1740,1531,friend
675,1207,follow
732,1741,friend
1552,1480,friend
482,812,follow
91,1156,follow
1829,68,follow
539,215,friend
1049,859,friend
835,1839,follow
419,463,follow
18,119,follow
1599,545,friend
1198,201,friend
577,1803,follow
200,1099,friend
1846,422,follow
41,288,follow
1660,1952,friend
1999,1418,follow
199,1628,follow
543,1438,follow
1598,1074,follow
1162,1675,follow
1444,607,follow
40,817,friend
97,1351,friend
1282,1777,friend
1261,900,friend
1409,1552,friend
688,1038,friend
727,966,follow
326,622,follow
1713,1963,follow
969,499,friend
620,345,friend
1065,961,friend
1497,618,follow
989,1905,follow
1307,494,friend
629,1562,friend
1861,1834,friend
832,1167,friend
775,633,follow
374,289,friend
1272,1439,follow
809,217,follow
1702,1023,follow
246,1043,friend
1170,1162,friend
1610,1434,follow
185,767,friend
1042,1916,follow
1360,505,friend
1831,90,friend
544,1639,friend
1258,228,follow
1268,916,follow
1421,1912,follow
643,864,follow
1302,500,friend
289,366,friend
698,1325,follow
1171,983,friend
1166,639,follow
264,1999,friend
166,1464,follow
541,587,follow
1267,1445,friend
606,1736,follow
1033,1049,follow
298,1583,friend
539,514,friend
1017,516,follow
976,515,friend
1411,443,follow
647,1737,friend
160,1649,follow
1944,906,follow
941,1460,friend
1720,1198,follow
1754,782,friend
1628,1609,friend
219,1475,follow
1561,387,friend
1709,1039,follow
258,1403,follow
1688,162,follow
1870,1142,friend
1464,454,friend
1521,988,follow
1500,111,follow
1089,1331,friend
1997,917,follow
1027,453,follow
1068,454,friend
60,664,friend
1274,330,follow
1859,983,follow
1771,1136,friend
1432,1670,follow
1679,1547,follow
316,1758,friend
249,536,friend
244,192,friend
1147,1686,follow
710,1685,follow
1613,927,friend
269,1942,friend
1829,1491,friend
368,1167,friend
29,1701,friend
1027,803,friend
516,1819,follow
1951,922,follow
495,942,follow
120,1819,friend
1321,526,friend
1768,1215,friend
706,1162,follow
367,1696,friend
802,1624,friend
169,957,follow
1578,1091,follow
174,1301,follow
265,1419,friend
198,197,friend
645,886,friend
982,279,friend
1911,742,follow
517,1640,follow
856,1106,follow
548,953,follow
890,690,friend
1418,809,follow
790,486,follow
1600,1789,friend
1287,1292,follow
845,947,friend
824,70,follow
511,1825,follow
631,1927,follow
657,896,friend
225,1239,follow
600,362,friend
1154,1702,follow
1102,1512,follow
1035,290,friend
1290,1563,follow
1969,1097,follow
133,1650,follow
472,1116,friend
1188,1286,friend
1375,358,follow
542,357,friend
1836,1507,friend
1872,1164,follow
1471,820,friend
1373,285,follow
1841,1851,follow
507,1302,follow
911,1917,friend
1286,1040,follow
211,28,follow
1210,1984,follow
1148,1106,friend
1179,419,follow
783,419,friend
1585,1107,friend
1924,573,follow
1523,229,friend
1958,157,follow
595,368,friend
657,1246,follow
1189,1107,follow
1092,1174,friend
32,1194,friend
1923,1102,friend
82,1311,follow
928,19,friend
1831,1513,friend
735,1876,follow
360,501,friend
766,1189,friend
1545,927,friend
1483,49,friend
836,430,follow
857,1307,friend
581,1409,friend
612,722,follow
617,1066,friend
1510,1872,friend
951,188,follow
206,34,follow
1104,1184,follow
1821,44,friend
513,716,follow
1385,645,friend
1328,111,friend
426,1471,follow
1536,60,friend
416,783,friend
755,249,friend
760,593,friend
176,542,friend
1785,1518,friend
1733,1328,friend
381,1728,follow
606,126,friend
1160,1466,follow
1884,743,friend
74,265,follow
1029,1949,friend
1975,861,friend
1693,1929,friend
946,194,follow
566,727,friend
1500,1534,follow
321,142,friend
42,1481,follow
818,948,friend
570,1600,friend
1218,1821,friend
750,255,follow
244,1615,follow
567,548,friend
1393,132,friend
997,132,follow
1556,1816,follow
1900,1626,follow
28,270,follow
535,1764,follow
1731,127,friend
394,1559,friend
3,1903,follow
1839,1350,friend
342,1369,friend
803,266,friend
1269,1759,follow
675,1020,follow
613,142,friend
618,486,follow
1050,143,follow
1485,71,friend
1946,1220,follow
573,743,follow
464,19,follow
1075,1893,follow
1008,671,friend
1828,410,follow
582,1960,follow
1198,14,follow
802,14,friend
1752,1354,follow
234,496,friend
671,497,friend
676,841,follow
1512,1113,follow
829,1837,follow
163,1784,friend
1749,302,friend
1415,1180,friend
1009,492,follow
1907,1642,follow
66,1851,friend
503,1852,friend
1845,764,follow
1563,1832,follow
785,784,follow
532,1092,follow
480,902,follow
1220,712,friend
1840,420,follow
1070,1899,follow
435,1159,follow
722,435,follow
1123,779,friend
1555,436,follow
1620,1585,friend
159,1261,follow
1122,1308,follow
57,984,follow
119,1862,friend
1466,1118,follow
1989,893,follow
210,1980,friend
538,1257,friend
783,1842,friend
1775,1873,follow
22,1929,friend
1405,842,friend
1866,1991,friend
1840,770,friend
723,256,follow
1027,1610,friend
360,1924,follow
1707,1180,friend
1712,1524,friend
1368,1714,follow
738,1318,follow
774,975,follow
1550,442,friend
1574,1590,follow
206,1457,friend
488,389,follow
1042,1729,follow
1083,1730,friend
646,1729,friend
615,164,friend
391,456,follow
544,1452,follow
1211,195,friend
1323,1190,follow
294,523,follow
359,1672,follow
1171,796,friend
729,451,follow
1601,380,follow
1043,1550,friend
986,1016,friend
1858,945,follow
418,1498,follow
1970,1940,friend
48,467,follow
910,1960,friend
1887,185,friend
1228,549,follow
160,1462,follow
1037,1735,friend
1386,1889,friend
1761,1012,friend
1725,1355,friend
849,1684,friend
1754,595,follow
1131,616,friend
1680,1612,follow
1186,1077,friend
1685,1956,follow
167,1098,friend
1714,1196,friend
1719,1540,follow
1657,662,follow
597,682,follow
1521,801,friend
1094,1488,follow
786,1335,friend
1565,1073,follow
151,595,follow
839,215,friend
844,559,friend
997,1555,follow
536,406,friend
1315,144,friend
1869,1484,friend
1812,950,follow
2,472,friend
504,1622,follow
781,210,friend
1612,138,friend
593,159,friend
1142,1155,friend
1181,1083,follow
548,416,friend
121,1103,friend
1212,396,follow
983,344,follow
243,534,follow
1886,1838,follow
29,1514,follow
1977,1956,friend
19,826,friend
1771,1299,follow
1195,1166,friend
1573,560,follow
1568,216,friend
1172,216,follow
1669,1022,follow
547,164,friend
1445,1314,friend
15,303,follow
1978,1777,follow
1906,211,friend
168,1299,follow
1446,1916,friend
608,1571,follow
952,1381,friend
890,503,follow
1876,1500,friend
1413,278,follow
1600,1602,follow
511,1638,friend
788,226,follow
1621,227,friend
1295,1720,friend
1629,842,friend
753,1171,follow
1472,104,friend
1040,447,friend
123,775,friend
1568,566,friend
969,1735,follow
1339,514,friend
375,996,friend
313,118,friend
127,1648,friend
841,237,friend
569,1993,follow
1739,1387,follow
507,1115,friend
278,1063,friend
30,1715,follow
364,837,follow
692,114,friend
1210,1797,follow
1057,801,friend
1523,42,follow
124,596,friend
119,252,friend
463,62,follow
282,1936,friend
960,868,friend
626,1746,follow
1457,1674,friend
1051,986,follow
712,1520,friend
366,129,follow
1923,915,follow
1861,37,follow
1933,1603,friend
1871,725,friend
558,1053,friend
1451,1859,friend
365,658,follow
84,416,friend
1631,514,friend
237,1412,friend
1641,1202,follow
1672,515,friend
232,1068,follow
1114,1685,friend
1057,1151,follow
765,1531,friend
1878,391,friend
489,1633,friend
145,1823,follow
179,1407,follow
518,873,follow
1294,340,follow
444,1890,follow
1781,458,friend
1046,992,friend
43,1546,follow
1385,458,follow
1699,1557,follow
1730,870,follow
238,1233,follow
171,11,friend
782,1885,follow
663,473,friend
761,1008,friend
1993,1280,friend
1165,1623,friend
314,319,follow
1941,1090,friend
74,78,friend
514,350,friend
1940,1619,friend
536,1829,follow
376,416,follow
849,74,follow
99,1828,friend
1680,2,friend
1802,1685,follow
1740,807,follow
1683,273,friend
1896,566,follow
1588,413,friend
750,68,follow
958,17,friend
182,550,follow
130,360,friend
1465,1511,follow
288,1700,follow
1957,1973,friend
1890,751,follow
1499,1095,friend
1926,408,friend
126,618,friend
561,546,follow
1058,1352,friend
834,1644,friend
1670,1916,follow
209,1592,follow
1243,351,friend
1649,1039,friend
618,299,friend
1917,1793,follow
1490,228,friend
81,94,follow
1612,1911,follow
979,1244,follow
1987,1034,friend
146,1243,friend
182,900,follow
1424,1860,follow
1023,1516,friend
15,1726,follow
1515,1978,friend
1952,1979,follow
